"Well_ID","time_bin","Depth_ft","Latitude","Longitude","DepthClass","Database","Result"
"CDPH1000056","1990-2014",NA,36.84,-119.64,"Deep","CDPH",431.2
"CDPH1000057","1990-2014",NA,36.85,-119.64,"Deep","CDPH",419.8
"CDPH1000059","1990-2014",NA,36.59,-119.58,"Deep","CDPH",128
"CDPH1000060","1990-2014",NA,36.69,-119.68,"Deep","CDPH",307.2
"CDPH1000061","1990-2014",NA,36.63,-119.62,"Deep","CDPH",320
"CDPH1000062","1990-2014",NA,36.72,-119.95,"Deep","CDPH",259.2
"CDPH1000063","1990-2014",NA,36.76,-119.98,"Deep","CDPH",345.6
"CDPH1000064","1990-2014",NA,36.655,-119.741,"Deep","CDPH",262.4
"CDPH1000067","1990-2014",NA,36.64,-119.78,"Deep","CDPH",116.488
"CDPH1000068","1990-2014",NA,36.655,-119.78,"Deep","CDPH",355.78
"CDPH1000069","1990-2014",NA,36.69,-119.71,"Deep","CDPH",256
"CDPH1000070","1990-2014",NA,36.45,-119.78,"Deep","CDPH",248
"CDPH1000073","1990-2014",NA,36.54,-119.58,"Deep","CDPH",210
"CDPH1000074","1990-2014",NA,36.655,-119.78,"Deep","CDPH",321.8
"CDPH1000075","1990-2014",NA,36.742,-119.899,"Deep","CDPH",153.6
"CDPH1000076","1990-2014",NA,36.57,-119.84,"Deep","CDPH",518.4
"CDPH1000081","1990-2014",NA,36.68,-119.7,"Deep","CDPH",397
"CDPH1000083","1990-2014",NA,36.655,-119.78,"Deep","CDPH",202.4
"CDPH1000084","1990-2014",NA,36.62,-119.92,"Deep","CDPH",768
"CDPH1000085","1990-2014",NA,36.59907,-119.650959,"Deep","CDPH",326.4
"CDPH1000086","1990-2014",NA,36.916015,-119.725037,"Deep","CDPH",222
"CDPH1000087","1990-2014",NA,36.916015,-119.725037,"Deep","CDPH",250
"CDPH1000088","1990-2014",NA,36.601842,-119.902506,"Deep","CDPH",150
"CDPH1000089","1990-2014",NA,36.830313,-119.678888,"Deep","CDPH",280
"CDPH1000090","1990-2014",NA,36.830313,-119.678888,"Deep","CDPH",289
"CDPH1000095","1990-2014",NA,36.663538,-119.727044,"Deep","CDPH",131.2
"CDPH1000096","1990-2014",NA,36.663538,-119.727044,"Deep","CDPH",115.2
"CDPH1000099","1990-2014",NA,36.700481,-119.554914,"Deep","CDPH",354.6
"CDPH1000101","1990-2014",NA,36.75,-119.71,"Deep","CDPH",255.68
"CDPH1000102","1960-1989",NA,36.73,-119.69,"Deep","CDPH",451.8
"CDPH1000102","1990-2014",NA,36.73,-119.69,"Deep","CDPH",350
"CDPH1000103","1990-2014",NA,36.57,-119.7,"Deep","CDPH",168.52
"CDPH1000104","1990-2014",NA,36.83,-119.71,"Deep","CDPH",153.6
"CDPH1000105","1960-1989",NA,36.8,-119.71,"Deep","CDPH",205.9
"CDPH1000105","1990-2014",NA,36.8,-119.71,"Deep","CDPH",179.2
"CDPH1000106","1960-1989",NA,36.8,-119.69,"Deep","CDPH",184.04
"CDPH1000106","1990-2014",NA,36.8,-119.69,"Deep","CDPH",217.6
"CDPH1000107","1960-1989",NA,36.78,-119.69,"Deep","CDPH",223.36
"CDPH1000107","1990-2014",NA,36.78,-119.69,"Deep","CDPH",240
"CDPH1000108","1960-1989",NA,36.8,-119.7,"Deep","CDPH",247.84
"CDPH1000108","1990-2014",NA,36.8,-119.7,"Deep","CDPH",220
"CDPH1000109","1990-2014",NA,36.81,-119.71,"Deep","CDPH",243.2
"CDPH1000110","1990-2014",NA,36.81,-119.7,"Deep","CDPH",290
"CDPH1000111","1990-2014",NA,36.81,-119.7,"Deep","CDPH",230.4
"CDPH1000112","1990-2014",NA,36.81,-119.7,"Deep","CDPH",311.8
"CDPH1000113","1960-1989",NA,36.8,-119.81,"Deep","CDPH",227.92
"CDPH1000113","1990-2014",NA,36.8,-119.81,"Deep","CDPH",262.4
"CDPH1000114","1960-1989",NA,36.8,-119.81,"Deep","CDPH",223.08
"CDPH1000114","1990-2014",NA,36.8,-119.81,"Deep","CDPH",291.2
"CDPH1000115","1960-1989",NA,36.8,-119.8,"Deep","CDPH",176.5
"CDPH1000115","1990-2014",NA,36.8,-119.8,"Deep","CDPH",260
